title,company,description,required_skills,category,experience_level,date,channel,message_id
የሥራ ቦታ,ኩባንያ,"**Senior HR Officer****__at A Two ElectroMechanical__****Categories:** #HumanResource #Recruitment #Business #Administration #SocialSciences #CommunityService**Location:** Addis Ababa**Deadline:** Apr 08, 2026**Career Level:** Executive(VP, Director)**Experience Level:** 8-12 years**Number of people required:** 1**Requirements:**• QualificationsBachelor's degree in HRM, Business Administration, or related field 8+ years' experience in HR, preferably in construction or electromechanical projectsC",communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@ethiojobsofficial,7160
የሥራ ቦታ,ኩባንያ,"**Senior Accountant****__at Winbarg Business__****Categories:** #Accounting #Finance #SocialSciences #CommunityService**Location:** Addis Ababa**Deadline:** Apr 18, 2026**Career Level:** Senior(5-8 years)**Experience Level:** 8-12 years**Number of people required:** 1**Requirements:**• Educational Qualification:Bachelor's degree in Accounting, Finance, or a related field.A professional certification such as ACCA, CPA, or CIMA is preferred.A Master's degree in Accounting, Finance, or Business Adm",excel,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@ethiojobsofficial,7157
የሥራ ቦታ,ኩባንያ,"**Junior HR Expert****__at Winbarg Business__****Categories:** #HumanResource #Recruitment #Business #Administration #SocialSciences #CommunityService**Location:** Addis Ababa**Deadline:** Apr 18, 2026**Career Level:** Junior Level(1-3 years)**Number of people required:** 1**Requirements:**• Qualifications:Education:Bachelor's degree in Human Resources, Business Administration, Psychology or related fieldExperience:Minimum of 2 years of experience in an HR-related role, preferably in recruitment","excel, communication",💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@ethiojobsofficial,7156
የሥራ ቦታ,ኩባንያ,"**Female Health Officer / Senior Nurse – Supervisor, Women's Cancer Care House****__at Talent Search - Ethiojobs__****Categories:** #HealthCare**Location:** Hawassa**Deadline:** Apr 19, 2026**Career Level:** Mid Level(3-5 years)**Experience Level:** 3-5 years**Number of people required:** 1**Requirements:**• RequirementsBachelor's Degree in Public Health or BSc/MSc in NursingValid professional license in EthiopiaMinimum 2 years of relevant experienceExperience in supervision and patient careStro",communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-19,@ethiojobsofficial,7152
የሥራ ቦታ,ኩባንያ,Your next job is waiting.Apply on EthioJobs and take the next step in your career.🎥 Watch the full tutorial on YouTube.https://youtu.be/Tui3A_utld4?si=6FugYZ5JuFS9627l#EthioJobs #CareerGrowth #JobSearch,ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@ethiojobsofficial,7148
የሥራ ቦታ,ኩባንያ,[ New ] Job by Engineering Corporation of Oromia 18-March 2026I𝗻𝘁𝗲𝗿𝗻𝗮𝗹 & 𝗘𝘅𝘁𝗲𝗿𝗻𝗮𝗹 𝗩𝗮𝗰𝗮𝗻𝗰𝘆 𝗔𝗻𝗻𝗼𝘂𝗻𝗰𝗲𝗺𝗲𝗻𝘁Engineering Corporation of Oromia would like to invite qualified and competent professionals on the following positions1. Senior Irrigation and Drainage Engineer2. Senior Dam Engineer3. Electrical Engineer4. Structural Engineer5. Sanitary Engineer (SE-05)6. Sanitary Engineer (SE-06)7. Drafts Person8. Environmentalist9. Socio Economist10. Senior Livestock Expert11. Sociologist12. Senior Dam Engin,ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-18,@elelanjobs,146
የሥራ ቦታ,ኩባንያ,"[ Fresh Graduates ] Job by United Nation OHCHR 16-March 2026 Position: Intern – Addis Ababa, Ethiopia■ Qualifications:a) Be enrolled in, or have completed, a graduate school programme (second university degree or equivalent, or higher); or,b) Be enrolled in, or have completed, the final academic year of a first university degree programme (minimum bachelor's level or equivalentc) Be enrolled in a graduate school programme (i.e. Master's degree or equivalent degree, or higher) or have completed a",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-16,@elelanjobs,145
የሥራ ቦታ,ኩባንያ,"[ New ] Job by Tsehay Bank 16-March 20261: Junior Customer Service Officer2: Customer Service Officer3: Senior Customer Service Officer I 4: Senior HRM Officer5: Senior Research and Development Officer6: Senior Planning, Monitoring and Evaluation Officer7: Principal Digital Banking Operation OfficerHow to Apply https://elelanjobs.com/job/tsehay-bank-s-c-job-vacancy-2026/Deadline : March 20, 2026",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-16,@elelanjobs,144
የሥራ ቦታ,ኩባንያ,"[ New ] Job by Temer Properties 16-March 20261: Junior Sales Representative🔻People required: 602: Sales Supervisor🔻People required: 63: Telemarketer🔻People required: 24: Digital Marketing and AD Specialist5: Videographer and Video Editor🔻People required: 36: Graphic DesignerHow to Apply https://elelanjobs.com/job/temer-properties-job-vacancy-2026/Deadline : March 23, 2026",ተዛማጅ ክህሎቶች,💻 ቴክኖሎጂ,ጀማሪ,2026-03-16,@elelanjobs,143
የሥራ ቦታ,ኩባንያ,[ New ] Job by Dynamic Microfinance Institution 16-March 2026Position 1: Cashier Level IQualification: Diploma/ level 4 in Accounting and FinanceExperience: 0 yearPosition 2: Accountant Level IQualification: BA/Diploma Diploma/ level 4 in Accounting and FinanceExperience: 0 yearPosition 3: Customer Service Officer Level IQualification: B.A/Diploma Diploma/ level 4 in in Marketing/Business Management/ Communication relatedExperience: 0 yearPosition 4: Branch Manager IQualification: B.A/Diploma in,communication,💻 ቴክኖሎጂ,ጀማሪ,2026-03-16,@elelanjobs,142
